"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
promis_fatimp38_qposition,pastor_section_4_of_11,,text,"Question Position",,,integer,,,,"[promis_fatimp38_qposition] <> ''",,,,,,
promis_fatimp40,pastor_section_4_of_11,FATIMP40,radio,"In the past 7 days
How often did you have enough energy to exercise strenuously?","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,"[promis_fatimp40_qposition] <> ''",,,,,,
promis_fatimp40_tscore,pastor_section_4_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_fatimp40_qposition] <> ''",,,,,,
promis_fatimp40_stderror,pastor_section_4_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_fatimp40_qposition] <> ''",,,,,,
promis_fatimp40_qposition,pastor_section_4_of_11,,text,"Question Position",,,integer,,,,"[promis_fatimp40_qposition] <> ''",,,,,,
promis_fatimp42,pastor_section_4_of_11,FATIMP42,radio,"In the past 7 days
How often were you less effective at home due to your fatigue?","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,"[promis_fatimp42_qposition] <> ''",,,,,,
promis_fatimp42_tscore,pastor_section_4_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_fatimp42_qposition] <> ''",,,,,,
promis_fatimp42_stderror,pastor_section_4_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_fatimp42_qposition] <> ''",,,,,,
promis_fatimp42_qposition,pastor_section_4_of_11,,text,"Question Position",,,integer,,,,"[promis_fatimp42_qposition] <> ''",,,,,,
promis_fatimp43,pastor_section_4_of_11,FATIMP43,radio,"In the past 7 days
To what degree did your fatigue make it difficult to organize your thoughts when doing things at work (include work at home)?","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,"[promis_fatimp43_qposition] <> ''",,,,,,
promis_fatimp43_tscore,pastor_section_4_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_fatimp43_qposition] <> ''",,,,,,
promis_fatimp43_stderror,pastor_section_4_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_fatimp43_qposition] <> ''",,,,,,
promis_fatimp43_qposition,pastor_section_4_of_11,,text,"Question Position",,,integer,,,,"[promis_fatimp43_qposition] <> ''",,,,,,
promis_fatimp44,pastor_section_4_of_11,FATIMP44,radio,"In the past 7 days
To what degree did your fatigue make you more forgetful?","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,"[promis_fatimp44_qposition] <> ''",,,,,,
promis_fatimp44_tscore,pastor_section_4_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_fatimp44_qposition] <> ''",,,,,,
promis_fatimp44_stderror,pastor_section_4_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_fatimp44_qposition] <> ''",,,,,,
promis_fatimp44_qposition,pastor_section_4_of_11,,text,"Question Position",,,integer,,,,"[promis_fatimp44_qposition] <> ''",,,,,,
promis_fatimp45,pastor_section_4_of_11,FATIMP45,radio,"In the past 7 days
To what degree did your fatigue interfere with your ability to engage in recreational activities?","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,"[promis_fatimp45_qposition] <> ''",,,,,,
promis_fatimp45_tscore,pastor_section_4_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_fatimp45_qposition] <> ''",,,,,,
promis_fatimp45_stderror,pastor_section_4_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_fatimp45_qposition] <> ''",,,,,,
promis_fatimp45_qposition,pastor_section_4_of_11,,text,"Question Position",,,integer,,,,"[promis_fatimp45_qposition] <> ''",,,,,,
promis_fatimp47,pastor_section_4_of_11,FATIMP47,radio,"In the past 7 days
To what degree did you have to force yourself to get up and do things because of your fatigue?","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,"[promis_fatimp47_qposition] <> ''",,,,,,
promis_fatimp47_tscore,pastor_section_4_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_fatimp47_qposition] <> ''",,,,,,
promis_fatimp47_stderror,pastor_section_4_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_fatimp47_qposition] <> ''",,,,,,
promis_fatimp47_qposition,pastor_section_4_of_11,,text,"Question Position",,,integer,,,,"[promis_fatimp47_qposition] <> ''",,,,,,
promis_fatimp48,pastor_section_4_of_11,FATIMP48,radio,"In the past 7 days
To what degree did your fatigue interfere with your social activities?","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,"[promis_fatimp48_qposition] <> ''",,,,,,
promis_fatimp48_tscore,pastor_section_4_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_fatimp48_qposition] <> ''",,,,,,
promis_fatimp48_stderror,pastor_section_4_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_fatimp48_qposition] <> ''",,,,,,
promis_fatimp48_qposition,pastor_section_4_of_11,,text,"Question Position",,,integer,,,,"[promis_fatimp48_qposition] <> ''",,,,,,
promis_fatimp49,pastor_section_4_of_11,FATIMP49,radio,"In the past 7 days
To what degree did your fatigue interfere with your physical functioning?","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,"[promis_fatimp49_qposition] <> ''",,,,,,
promis_fatimp49_tscore,pastor_section_4_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_fatimp49_qposition] <> ''",,,,,,
promis_fatimp49_stderror,pastor_section_4_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_fatimp49_qposition] <> ''",,,,,,
promis_fatimp49_qposition,pastor_section_4_of_11,,text,"Question Position",,,integer,,,,"[promis_fatimp49_qposition] <> ''",,,,,,
promis_fatimp50,pastor_section_4_of_11,FATIMP50,radio,"In the past 7 days
Did fatigue make you less effective at home?","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,"[promis_fatimp50_qposition] <> ''",,,,,,
promis_fatimp50_tscore,pastor_section_4_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_fatimp50_qposition] <> ''",,,,,,
promis_fatimp50_stderror,pastor_section_4_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_fatimp50_qposition] <> ''",,,,,,
promis_fatimp50_qposition,pastor_section_4_of_11,,text,"Question Position",,,integer,,,,"[promis_fatimp50_qposition] <> ''",,,,,,
promis_fatimp51,pastor_section_4_of_11,FATIMP51,radio,"In the past 7 days
To what degree did you have trouble finishing things because of your fatigue?","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,"[promis_fatimp51_qposition] <> ''",,,,,,
promis_fatimp51_tscore,pastor_section_4_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_fatimp51_qposition] <> ''",,,,,,
promis_fatimp51_stderror,pastor_section_4_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_fatimp51_qposition] <> ''",,,,,,
promis_fatimp51_qposition,pastor_section_4_of_11,,text,"Question Position",,,integer,,,,"[promis_fatimp51_qposition] <> ''",,,,,,
promis_fatimp52,pastor_section_4_of_11,FATIMP52,radio,"In the past 7 days
To what degree did your fatigue make you feel less alert?","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,"[promis_fatimp52_qposition] <> ''",,,,,,
promis_fatimp52_tscore,pastor_section_4_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_fatimp52_qposition] <> ''",,,,,,
promis_fatimp52_stderror,pastor_section_4_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_fatimp52_qposition] <> ''",,,,,,
promis_fatimp52_qposition,pastor_section_4_of_11,,text,"Question Position",,,integer,,,,"[promis_fatimp52_qposition] <> ''",,,,,,
promis_fatimp53,pastor_section_4_of_11,FATIMP53,radio,"In the past 7 days
How often were you too tired to take a short walk?","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,"[promis_fatimp53_qposition] <> ''",,,,,,
promis_fatimp53_tscore,pastor_section_4_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_fatimp53_qposition] <> ''",,,,,,
promis_fatimp53_stderror,pastor_section_4_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_fatimp53_qposition] <> ''",,,,,,
promis_fatimp53_qposition,pastor_section_4_of_11,,text,"Question Position",,,integer,,,,"[promis_fatimp53_qposition] <> ''",,,,,,
promis_fatimp55,pastor_section_4_of_11,FATIMP55,radio,"In the past 7 days
How often did you have to force yourself to get up and do things because of your fatigue?","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,"[promis_fatimp55_qposition] <> ''",,,,,,
promis_fatimp55_tscore,pastor_section_4_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_fatimp55_qposition] <> ''",,,,,,
promis_fatimp55_stderror,pastor_section_4_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_fatimp55_qposition] <> ''",,,,,,
promis_fatimp55_qposition,pastor_section_4_of_11,,text,"Question Position",,,integer,,,,"[promis_fatimp55_qposition] <> ''",,,,,,
promis_fatimp56,pastor_section_4_of_11,FATIMP56,radio,"In the past 7 days
How often were you too tired to socialize with your friends?","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,"[promis_fatimp56_qposition] <> ''",,,,,,
promis_fatimp56_tscore,pastor_section_4_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_fatimp56_qposition] <> ''",,,,,,
promis_fatimp56_stderror,pastor_section_4_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_fatimp56_qposition] <> ''",,,,,,
promis_fatimp56_qposition,pastor_section_4_of_11,,text,"Question Position",,,integer,,,,"[promis_fatimp56_qposition] <> ''",,,,,,
promis_fatexp2,pastor_section_4_of_11,FATEXP2,radio,"In the past 7 days
How often did you feel run-down?","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,"[promis_fatexp2_qposition] <> ''",,,,,,
promis_fatexp2_tscore,pastor_section_4_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_fatexp2_qposition] <> ''",,,,,,
promis_fatexp2_stderror,pastor_section_4_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_fatexp2_qposition] <> ''",,,,,,
promis_fatexp2_qposition,pastor_section_4_of_11,,text,"Question Position",,,integer,,,,"[promis_fatexp2_qposition] <> ''",,,,,,
promis_fatexp5,pastor_section_4_of_11,FATEXP5,radio,"In the past 7 days
How often did you experience extreme exhaustion?","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,"[promis_fatexp5_qposition] <> ''",,,,,,
promis_fatexp5_tscore,pastor_section_4_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_fatexp5_qposition] <> ''",,,,,,
promis_fatexp5_stderror,pastor_section_4_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_fatexp5_qposition] <> ''",,,,,,
promis_fatexp5_qposition,pastor_section_4_of_11,,text,"Question Position",,,integer,,,,"[promis_fatexp5_qposition] <> ''",,,,,,
promis_fatexp6,pastor_section_4_of_11,FATEXP6,radio,"In the past 7 days
How often did you feel tired even when you hadn't done anything?","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,"[promis_fatexp6_qposition] <> ''",,,,,,
promis_fatexp6_tscore,pastor_section_4_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_fatexp6_qposition] <> ''",,,,,,
promis_fatexp6_stderror,pastor_section_4_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_fatexp6_qposition] <> ''",,,,,,
promis_fatexp6_qposition,pastor_section_4_of_11,,text,"Question Position",,,integer,,,,"[promis_fatexp6_qposition] <> ''",,,,,,
promis_fatexp7,pastor_section_4_of_11,FATEXP7,radio,"In the past 7 days
How often did you feel your fatigue was beyond your control?","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,"[promis_fatexp7_qposition] <> ''",,,,,,
promis_fatexp7_tscore,pastor_section_4_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_fatexp7_qposition] <> ''",,,,,,
promis_fatexp7_stderror,pastor_section_4_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_fatexp7_qposition] <> ''",,,,,,
promis_fatexp7_qposition,pastor_section_4_of_11,,text,"Question Position",,,integer,,,,"[promis_fatexp7_qposition] <> ''",,,,,,
promis_fatexp12,pastor_section_4_of_11,FATEXP12,radio,"In the past 7 days
To what degree did you feel tired even when you hadn't done anything?","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,"[promis_fatexp12_qposition] <> ''",,,,,,
promis_fatexp12_tscore,pastor_section_4_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_fatexp12_qposition] <> ''",,,,,,
promis_fatexp12_stderror,pastor_section_4_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_fatexp12_qposition] <> ''",,,,,,
promis_fatexp12_qposition,pastor_section_4_of_11,,text,"Question Position",,,integer,,,,"[promis_fatexp12_qposition] <> ''",,,,,,
promis_fatexp13,pastor_section_4_of_11,FATEXP13,radio,"In the past 7 days
How bushed were you on average?","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,"[promis_fatexp13_qposition] <> ''",,,,,,
promis_fatexp13_tscore,pastor_section_4_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_fatexp13_qposition] <> ''",,,,,,
promis_fatexp13_stderror,pastor_section_4_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_fatexp13_qposition] <> ''",,,,,,
promis_fatexp13_qposition,pastor_section_4_of_11,,text,"Question Position",,,integer,,,,"[promis_fatexp13_qposition] <> ''",,,,,,
promis_fatexp16,pastor_section_4_of_11,FATEXP16,radio,"In the past 7 days
How often were you sluggish?","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,"[promis_fatexp16_qposition] <> ''",,,,,,
promis_fatexp16_tscore,pastor_section_4_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_fatexp16_qposition] <> ''",,,,,,
promis_fatexp16_stderror,pastor_section_4_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_fatexp16_qposition] <> ''",,,,,,
promis_fatexp16_qposition,pastor_section_4_of_11,,text,"Question Position",,,integer,,,,"[promis_fatexp16_qposition] <> ''",,,,,,
promis_fatexp18,pastor_section_4_of_11,FATEXP18,radio,"In the past 7 days
How often did you run out of energy?","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,"[promis_fatexp18_qposition] <> ''",,,,,,
promis_fatexp18_tscore,pastor_section_4_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_fatexp18_qposition] <> ''",,,,,,
promis_fatexp18_stderror,pastor_section_4_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_fatexp18_qposition] <> ''",,,,,,
promis_fatexp18_qposition,pastor_section_4_of_11,,text,"Question Position",,,integer,,,,"[promis_fatexp18_qposition] <> ''",,,,,,
promis_fatexp19,pastor_section_4_of_11,FATEXP19,radio,"In the past 7 days
How often were you physically drained?","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,"[promis_fatexp19_qposition] <> ''",,,,,,
promis_fatexp19_tscore,pastor_section_4_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_fatexp19_qposition] <> ''",,,,,,
promis_fatexp19_stderror,pastor_section_4_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_fatexp19_qposition] <> ''",,,,,,
promis_fatexp19_qposition,pastor_section_4_of_11,,text,"Question Position",,,integer,,,,"[promis_fatexp19_qposition] <> ''",,,,,,
promis_fatexp20,pastor_section_4_of_11,FATEXP20,radio,"In the past 7 days
How often did you feel tired?","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,"[promis_fatexp20_qposition] <> ''",,,,,,
promis_fatexp20_tscore,pastor_section_4_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_fatexp20_qposition] <> ''",,,,,,
promis_fatexp20_stderror,pastor_section_4_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_fatexp20_qposition] <> ''",,,,,,
promis_fatexp20_qposition,pastor_section_4_of_11,,text,"Question Position",,,integer,,,,"[promis_fatexp20_qposition] <> ''",,,,,,
promis_fatexp21,pastor_section_4_of_11,FATEXP21,radio,"In the past 7 days
How fatigued were you when your fatigue was at its worst?","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,"[promis_fatexp21_qposition] <> ''",,,,,,
promis_fatexp21_tscore,pastor_section_4_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_fatexp21_qposition] <> ''",,,,,,
promis_fatexp21_stderror,pastor_section_4_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_fatexp21_qposition] <> ''",,,,,,
promis_fatexp21_qposition,pastor_section_4_of_11,,text,"Question Position",,,integer,,,,"[promis_fatexp21_qposition] <> ''",,,,,,
promis_fatexp22,pastor_section_4_of_11,FATEXP22,radio,"In the past 7 days
How often were you bothered by your fatigue?","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,"[promis_fatexp22_qposition] <> ''",,,,,,
promis_fatexp22_tscore,pastor_section_4_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_fatexp22_qposition] <> ''",,,,,,
promis_fatexp22_stderror,pastor_section_4_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_fatexp22_qposition] <> ''",,,,,,
promis_fatexp22_qposition,pastor_section_4_of_11,,text,"Question Position",,,integer,,,,"[promis_fatexp22_qposition] <> ''",,,,,,
promis_fatexp24,pastor_section_4_of_11,FATEXP24,radio,"In the past 7 days
How often did you have enough energy to enjoy the things you do for fun?","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,"[promis_fatexp24_qposition] <> ''",,,,,,
promis_fatexp24_tscore,pastor_section_4_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_fatexp24_qposition] <> ''",,,,,,
promis_fatexp24_stderror,pastor_section_4_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_fatexp24_qposition] <> ''",,,,,,
promis_fatexp24_qposition,pastor_section_4_of_11,,text,"Question Position",,,integer,,,,"[promis_fatexp24_qposition] <> ''",,,,,,
promis_fatexp26,pastor_section_4_of_11,FATEXP26,radio,"In the past 7 days
How often were you too tired to enjoy life?","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,"[promis_fatexp26_qposition] <> ''",,,,,,
promis_fatexp26_tscore,pastor_section_4_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_fatexp26_qposition] <> ''",,,,,,
promis_fatexp26_stderror,pastor_section_4_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_fatexp26_qposition] <> ''",,,,,,
promis_fatexp26_qposition,pastor_section_4_of_11,,text,"Question Position",,,integer,,,,"[promis_fatexp26_qposition] <> ''",,,,,,
promis_fatexp28,pastor_section_4_of_11,FATEXP28,radio,"In the past 7 days
How often were you too tired to feel happy?","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,"[promis_fatexp28_qposition] <> ''",,,,,,
promis_fatexp28_tscore,pastor_section_4_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_fatexp28_qposition] <> ''",,,,,,
promis_fatexp28_stderror,pastor_section_4_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_fatexp28_qposition] <> ''",,,,,,
promis_fatexp28_qposition,pastor_section_4_of_11,,text,"Question Position",,,integer,,,,"[promis_fatexp28_qposition] <> ''",,,,,,
promis_fatexp29,pastor_section_4_of_11,FATEXP29,radio,"In the past 7 days
How often did you feel totally drained?","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,"[promis_fatexp29_qposition] <> ''",,,,,,
promis_fatexp29_tscore,pastor_section_4_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_fatexp29_qposition] <> ''",,,,,,
promis_fatexp29_stderror,pastor_section_4_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_fatexp29_qposition] <> ''",,,,,,
promis_fatexp29_qposition,pastor_section_4_of_11,,text,"Question Position",,,integer,,,,"[promis_fatexp29_qposition] <> ''",,,,,,
promis_fatexp31,pastor_section_4_of_11,FATEXP31,radio,"In the past 7 days
How often were you energetic?","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,"[promis_fatexp31_qposition] <> ''",,,,,,
promis_fatexp31_tscore,pastor_section_4_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_fatexp31_qposition] <> ''",,,,,,
promis_fatexp31_stderror,pastor_section_4_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_fatexp31_qposition] <> ''",,,,,,
promis_fatexp31_qposition,pastor_section_4_of_11,,text,"Question Position",,,integer,,,,"[promis_fatexp31_qposition] <> ''",,,,,,
promis_fatexp34,pastor_section_4_of_11,FATEXP34,radio,"In the past 7 days
How tired did you feel on average?","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,"[promis_fatexp34_qposition] <> ''",,,,,,
promis_fatexp34_tscore,pastor_section_4_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_fatexp34_qposition] <> ''",,,,,,
promis_fatexp34_stderror,pastor_section_4_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_fatexp34_qposition] <> ''",,,,,,
promis_fatexp34_qposition,pastor_section_4_of_11,,text,"Question Position",,,integer,,,,"[promis_fatexp34_qposition] <> ''",,,,,,
promis_fatexp35,pastor_section_4_of_11,FATEXP35,radio,"In the past 7 days
How much were you bothered by your fatigue on average?","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,"[promis_fatexp35_qposition] <> ''",,,,,,
promis_fatexp35_tscore,pastor_section_4_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_fatexp35_qposition] <> ''",,,,,,
promis_fatexp35_stderror,pastor_section_4_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_fatexp35_qposition] <> ''",,,,,,
promis_fatexp35_qposition,pastor_section_4_of_11,,text,"Question Position",,,integer,,,,"[promis_fatexp35_qposition] <> ''",,,,,,
promis_fatexp36,pastor_section_4_of_11,FATEXP36,radio,"In the past 7 days
How exhausted were you on average?","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,"[promis_fatexp36_qposition] <> ''",,,,,,
promis_fatexp36_tscore,pastor_section_4_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_fatexp36_qposition] <> ''",,,,,,
promis_fatexp36_stderror,pastor_section_4_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_fatexp36_qposition] <> ''",,,,,,
promis_fatexp36_qposition,pastor_section_4_of_11,,text,"Question Position",,,integer,,,,"[promis_fatexp36_qposition] <> ''",,,,,,
promis_fatexp38,pastor_section_4_of_11,FATEXP38,radio,"In the past 7 days
How fatigued were you on the day you felt most fatigued?","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,"[promis_fatexp38_qposition] <> ''",,,,,,
promis_fatexp38_tscore,pastor_section_4_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_fatexp38_qposition] <> ''",,,,,,
promis_fatexp38_stderror,pastor_section_4_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_fatexp38_qposition] <> ''",,,,,,
promis_fatexp38_qposition,pastor_section_4_of_11,,text,"Question Position",,,integer,,,,"[promis_fatexp38_qposition] <> ''",,,,,,
promis_fatexp40,pastor_section_4_of_11,FATEXP40,radio,"In the past 7 days
How fatigued were you on average?","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,"[promis_fatexp40_qposition] <> ''",,,,,,
promis_fatexp40_tscore,pastor_section_4_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_fatexp40_qposition] <> ''",,,,,,
promis_fatexp40_stderror,pastor_section_4_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_fatexp40_qposition] <> ''",,,,,,
promis_fatexp40_qposition,pastor_section_4_of_11,,text,"Question Position",,,integer,,,,"[promis_fatexp40_qposition] <> ''",,,,,,
promis_fatexp41,pastor_section_4_of_11,FATEXP41,radio,"In the past 7 days
How run-down did you feel on average?","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,"[promis_fatexp41_qposition] <> ''",,,,,,
promis_fatexp41_tscore,pastor_section_4_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_fatexp41_qposition] <> ''",,,,,,
promis_fatexp41_stderror,pastor_section_4_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_fatexp41_qposition] <> ''",,,,,,
promis_fatexp41_qposition,pastor_section_4_of_11,,text,"Question Position",,,integer,,,,"[promis_fatexp41_qposition] <> ''",,,,,,
promis_fatexp42,pastor_section_4_of_11,FATEXP42,radio,"In the past 7 days
How much mental energy did you have on average?","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,"[promis_fatexp42_qposition] <> ''",,,,,,
promis_fatexp42_tscore,pastor_section_4_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_fatexp42_qposition] <> ''",,,,,,
promis_fatexp42_stderror,pastor_section_4_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_fatexp42_qposition] <> ''",,,,,,
promis_fatexp42_qposition,pastor_section_4_of_11,,text,"Question Position",,,integer,,,,"[promis_fatexp42_qposition] <> ''",,,,,,
promis_fatexp43,pastor_section_4_of_11,FATEXP43,radio,"In the past 7 days
How physically drained were you on average?","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,"[promis_fatexp43_qposition] <> ''",,,,,,
promis_fatexp43_tscore,pastor_section_4_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_fatexp43_qposition] <> ''",,,,,,
promis_fatexp43_stderror,pastor_section_4_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_fatexp43_qposition] <> ''",,,,,,
promis_fatexp43_qposition,pastor_section_4_of_11,,text,"Question Position",,,integer,,,,"[promis_fatexp43_qposition] <> ''",,,,,,
promis_fatexp44,pastor_section_4_of_11,FATEXP44,radio,"In the past 7 days
How energetic were you on average?","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,"[promis_fatexp44_qposition] <> ''",,,,,,
promis_fatexp44_tscore,pastor_section_4_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_fatexp44_qposition] <> ''",,,,,,
promis_fatexp44_stderror,pastor_section_4_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_fatexp44_qposition] <> ''",,,,,,
promis_fatexp44_qposition,pastor_section_4_of_11,,text,"Question Position",,,integer,,,,"[promis_fatexp44_qposition] <> ''",,,,,,
